id,company,title,link,date,fetched_at,summary_ai,impact_for_zhone,ai_status
7bbec9f4-c57c-4e34-9ce2-887dd25ebeb5,Zhone Technologies,Zhone Technologies Announces Acquisition of DZS Assets,https://zhone.com/news/news-releases/zhone-acquisition-of-dzs-assets/,2025-05-05,2025-10-20 14:07:59,,,
d2f0f7de-59d5-45c9-a034-1667b2ad3c59,Zhone Technologies,DZS Inc. Announces Sale Process Timeline for DZS Assets,https://zhone.com/news/news-releases/dzs-annouces-sale-process-timeline-for-assets/,2025-03-25,2025-10-20 14:08:00,,,
bf1e93b2-24d3-43a8-ad2d-4c10d1eecfbf,Zhone Technologies,DZS files for chapter 7 protection,https://zhone.com/news/news-releases/dzs-files-for-chapter-7-protection/,2025-03-14,2025-10-20 14:08:01,,,
ce82b99c-4025-4b6e-8acb-77165647d625,Zhone Technologies,RTA Selects DZS to Bring World-Class Broadband Services to Texas’ Bastrop County,https://zhone.com/news/news-releases/rta-selects-dzs-to-bring-world-class-broadband-services-to-texas-bastrop-county/,2025-02-26,2025-10-20 14:08:02,,,
0addd7b7-c851-4421-9b2e-6056238114b6,Zhone Technologies,DZS FiberLAN Empowers One of Israel’s Most Innovative Hospitality Venues with State-of-the-Art Communications Capabilities,https://zhone.com/news/news-releases/dzs-fiberlan-empowers-one-of-israels-most-innovative-hospitality-venues/,2024-12-16,2025-10-20 14:08:04,,,
4c9e4633-8cb9-42cf-ab53-4688a62860ad,Zhone Technologies,DZS Sells Enterprise IoT Portfolio to Lantronix for $6.5 Million,https://zhone.com/news/news-releases/dzs-sells-enterprise-iot-portfolio-to-lantronix/,2024-11-08,2025-10-20 14:08:05,,,
1cf35c13-af9b-4b9a-aeba-79782a9648f3,Zhone Technologies,DZS Achieves U.S. BEAD Program “Build America Buy America” Manufacturing Readiness Certification,https://zhone.com/news/news-releases/dzs-achieves-u-s-bead-program/,2024-10-22,2025-10-20 14:08:06,,,
ce380ae4-d247-4da6-ab84-2c0bc4ec6e8e,Zhone Technologies,DZS Sells Service Assurance and WiFi Management Software Portfolio to AXON Networks,https://zhone.com/news/news-releases/dzs-sells-to-axon-networks/,2024-10-16,2025-10-20 14:08:08,,,
06da46e4-43bb-4308-96e9-e8b2a5c0eb66,Zhone Technologies,Beanfield Leverages DZS Velocity Technology to Bring Up to 8 Gig Broadband Speeds to Canadian MDUs,https://zhone.com/news/news-releases/beanfield-leverages-dzs-velocity/,2024-10-07,2025-10-20 14:08:09,,,
9656319b-3ba7-473b-97a4-b9915e223aff,Zhone Technologies,DZS Files Q2 2024 Financial Results,https://zhone.com/news/news-releases/q2-2024-financial-results/,2024-09-03,2025-10-20 14:08:11,,,
592096ee-f5be-4edb-82ee-15a13f7a1359,Zhone Technologies,DZS Files Q1 2024 Financial Results,https://zhone.com/news/news-releases/dzs-files-q1-2024-financial-results/,2024-08-20,2025-10-20 14:08:12,,,
af4ed7c4-dc80-48be-a8b2-e0270d3626dd,Zhone Technologies,DZS Completes Restatement of 2022 and Q1 2023 Financial Results,https://zhone.com/news/news-releases/dzs-completes-restatement-and-posts-remaining-2023-financials/,2024-08-13,2025-10-20 14:08:14,,,
049f649b-c36c-4f9d-a27f-dc44b616f873,Zhone Technologies,DZS Demonstrates World-First In-Band Management Capabilities for Next-Gen Optical Transport at Fiber Connect 2024,https://zhone.com/news/news-releases/dzs-demonstrates-world-first-in-band-management-capabilities/,2024-07-29,2025-10-20 14:08:16,,,
862011f1-9fc3-4251-b09c-62d6318b1648,Zhone Technologies,"Infinera, DZS, and Calnex Successfully Demonstrate 5G Mobile xHaul with Open XR Point-to-Multipoint Optics in European Open Test & Integration Center in Torino",https://zhone.com/news/news-releases/infinera-dzs-and-calnex-successfully-demonstrate-5g-mobile-xhaul/,2024-06-17,2025-10-20 14:08:17,,,
